,Luchthaven,Periode,Totaal aantal vluchten,Totaal aantal aangekomen vluchten,Totaal aantal vertrokken vluchten,Totaal aantal passagiers,Totaal aantal aangekomen passagiers,Totaal aantal vertrokken passagiers,Totaal aantal passagiers op Europese vluchten,Totaal aantal passagiers op intercontinentale vluchten,Totaal aantal passagiers met onbekende herkomst/bestemming,Weeknummer,Totaal aantal overledenen,Verwacht aantal overledenen,Verwacht aantal overledenen (95%-interval),LAT,LNG,Maatregelen
242,Amsterdam Airport Schiphol,2020 december,15896,7956,7940,1233043,580297,652746,836069,396974,0,51,3909,3166,2830 – 3501,52.3105386,4.7682744,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
243,Amsterdam Airport Schiphol,2020 december,15896,7956,7940,1233043,580297,652746,836069,396974,0,52,3867,3222,2871 – 3573,52.3105386,4.7682744,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
244,Rotterdam The Hague Airport,2020 december,115,63,52,4590,1940,2650,325,4265,0,49,3530,3037,2742 – 3332,51.9555086,4.4398832,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
245,Rotterdam The Hague Airport,2020 december,115,63,52,4590,1940,2650,325,4265,0,50,3615,3100,2800 – 3399,51.9555086,4.4398832,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
246,Rotterdam The Hague Airport,2020 december,115,63,52,4590,1940,2650,325,4265,0,51,3909,3166,2830 – 3501,51.9555086,4.4398832,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
247,Rotterdam The Hague Airport,2020 december,115,63,52,4590,1940,2650,325,4265,0,52,3867,3222,2871 – 3573,51.9555086,4.4398832,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
248,Eindhoven Airport,2020 december,769,387,382,66544,26518,40026,66544,0,0,49,3530,3037,2742 – 3332,51.4583691,5.3920556,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
249,Eindhoven Airport,2020 december,769,387,382,66544,26518,40026,66544,0,0,50,3615,3100,2800 – 3399,51.4583691,5.3920556,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
250,Eindhoven Airport,2020 december,769,387,382,66544,26518,40026,66544,0,0,51,3909,3166,2830 – 3501,51.4583691,5.3920556,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
251,Eindhoven Airport,2020 december,769,387,382,66544,26518,40026,66544,0,0,52,3867,3222,2871 – 3573,51.4583691,5.3920556,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
252,Maastricht Aachen Airport,2020 december,535,274,261,1841,765,1076,1840,0,1,49,3530,3037,2742 – 3332,50.9123207,5.7694951,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
253,Maastricht Aachen Airport,2020 december,535,274,261,1841,765,1076,1840,0,1,50,3615,3100,2800 – 3399,50.9123207,5.7694951,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
254,Maastricht Aachen Airport,2020 december,535,274,261,1841,765,1076,1840,0,1,51,3909,3166,2830 – 3501,50.9123207,5.7694951,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
255,Maastricht Aachen Airport,2020 december,535,274,261,1841,765,1076,1840,0,1,52,3867,3222,2871 – 3573,50.9123207,5.7694951,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
256,Groningen Airport Eelde,2020 december,10,4,6,0,0,0,0,0,0,49,3530,3037,2742 – 3332,53.2145858,6.5887355,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
257,Groningen Airport Eelde,2020 december,10,4,6,0,0,0,0,0,0,50,3615,3100,2800 – 3399,53.2145858,6.5887355,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
258,Groningen Airport Eelde,2020 december,10,4,6,0,0,0,0,0,0,51,3909,3166,2830 – 3501,53.2145858,6.5887355,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
259,Groningen Airport Eelde,2020 december,10,4,6,0,0,0,0,0,0,52,3867,3222,2871 – 3573,53.2145858,6.5887355,Lockdown: sluiting niet essentiële winkels en (sport)scholen (dec '20)
260,Amsterdam Airport Schiphol,2021 januari,14666,7317,7349,869129,463793,405336,553464,315665,0,53,4103,3266,2906 – 3625,52.3105386,4.7682744,Invoering avondklok (jan '21)
261,Amsterdam Airport Schiphol,2021 januari,14666,7317,7349,869129,463793,405336,553464,315665,0,1,4143,3309,2940 – 3677,52.3105386,4.7682744,Invoering avondklok (jan '21)
262,Amsterdam Airport Schiphol,2021 januari,14666,7317,7349,869129,463793,405336,553464,315665,0,2,3852,3343,2962 – 3724,52.3105386,4.7682744,Invoering avondklok (jan '21)
263,Amsterdam Airport Schiphol,2021 januari,14666,7317,7349,869129,463793,405336,553464,315665,0,3,3862,3376,2978 – 3775,52.3105386,4.7682744,Invoering avondklok (jan '21)
264,Amsterdam Airport Schiphol,2021 januari,14666,7317,7349,869129,463793,405336,553464,315665,0,4,3716,3425,3040 – 3809,52.3105386,4.7682744,Invoering avondklok (jan '21)
265,Rotterdam The Hague Airport,2021 januari,181,83,98,3311,2053,1258,34,3277,0,53,4103,3266,2906 – 3625,51.9555086,4.4398832,Invoering avondklok (jan '21)
266,Rotterdam The Hague Airport,2021 januari,181,83,98,3311,2053,1258,34,3277,0,1,4143,3309,2940 – 3677,51.9555086,4.4398832,Invoering avondklok (jan '21)
267,Rotterdam The Hague Airport,2021 januari,181,83,98,3311,2053,1258,34,3277,0,2,3852,3343,2962 – 3724,51.9555086,4.4398832,Invoering avondklok (jan '21)
268,Rotterdam The Hague Airport,2021 januari,181,83,98,3311,2053,1258,34,3277,0,3,3862,3376,2978 – 3775,51.9555086,4.4398832,Invoering avondklok (jan '21)
269,Rotterdam The Hague Airport,2021 januari,181,83,98,3311,2053,1258,34,3277,0,4,3716,3425,3040 – 3809,51.9555086,4.4398832,Invoering avondklok (jan '21)
270,Eindhoven Airport,2021 januari,572,282,290,36128,22761,13367,36128,0,0,53,4103,3266,2906 – 3625,51.4583691,5.3920556,Invoering avondklok (jan '21)
271,Eindhoven Airport,2021 januari,572,282,290,36128,22761,13367,36128,0,0,1,4143,3309,2940 – 3677,51.4583691,5.3920556,Invoering avondklok (jan '21)
272,Eindhoven Airport,2021 januari,572,282,290,36128,22761,13367,36128,0,0,2,3852,3343,2962 – 3724,51.4583691,5.3920556,Invoering avondklok (jan '21)
273,Eindhoven Airport,2021 januari,572,282,290,36128,22761,13367,36128,0,0,3,3862,3376,2978 – 3775,51.4583691,5.3920556,Invoering avondklok (jan '21)
274,Eindhoven Airport,2021 januari,572,282,290,36128,22761,13367,36128,0,0,4,3716,3425,3040 – 3809,51.4583691,5.3920556,Invoering avondklok (jan '21)
275,Maastricht Aachen Airport,2021 januari,468,234,234,1049,625,424,1049,0,0,53,4103,3266,2906 – 3625,50.9123207,5.7694951,Invoering avondklok (jan '21)
276,Maastricht Aachen Airport,2021 januari,468,234,234,1049,625,424,1049,0,0,1,4143,3309,2940 – 3677,50.9123207,5.7694951,Invoering avondklok (jan '21)
277,Maastricht Aachen Airport,2021 januari,468,234,234,1049,625,424,1049,0,0,2,3852,3343,2962 – 3724,50.9123207,5.7694951,Invoering avondklok (jan '21)
278,Maastricht Aachen Airport,2021 januari,468,234,234,1049,625,424,1049,0,0,3,3862,3376,2978 – 3775,50.9123207,5.7694951,Invoering avondklok (jan '21)
279,Maastricht Aachen Airport,2021 januari,468,234,234,1049,625,424,1049,0,0,4,3716,3425,3040 – 3809,50.9123207,5.7694951,Invoering avondklok (jan '21)
280,Groningen Airport Eelde,2021 januari,20,14,6,0,0,0,0,0,0,53,4103,3266,2906 – 3625,53.2145858,6.5887355,Invoering avondklok (jan '21)
281,Groningen Airport Eelde,2021 januari,20,14,6,0,0,0,0,0,0,1,4143,3309,2940 – 3677,53.2145858,6.5887355,Invoering avondklok (jan '21)
282,Groningen Airport Eelde,2021 januari,20,14,6,0,0,0,0,0,0,2,3852,3343,2962 – 3724,53.2145858,6.5887355,Invoering avondklok (jan '21)
283,Groningen Airport Eelde,2021 januari,20,14,6,0,0,0,0,0,0,3,3862,3376,2978 – 3775,53.2145858,6.5887355,Invoering avondklok (jan '21)
284,Groningen Airport Eelde,2021 januari,20,14,6,0,0,0,0,0,0,4,3716,3425,3040 – 3809,53.2145858,6.5887355,Invoering avondklok (jan '21)
285,Amsterdam Airport Schiphol,2021 februari,10655,5328,5327,505194,253143,252051,327631,177563,0,5,3654,3440,3060 – 3821,52.3105386,4.7682744,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
286,Amsterdam Airport Schiphol,2021 februari,10655,5328,5327,505194,253143,252051,327631,177563,0,6,3550,3434,3012 – 3856,52.3105386,4.7682744,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
287,Amsterdam Airport Schiphol,2021 februari,10655,5328,5327,505194,253143,252051,327631,177563,0,7,3528,3441,2949 – 3934,52.3105386,4.7682744,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
288,Amsterdam Airport Schiphol,2021 februari,10655,5328,5327,505194,253143,252051,327631,177563,0,8,3207,3420,2884 – 3955,52.3105386,4.7682744,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
289,Rotterdam The Hague Airport,2021 februari,144,74,70,2871,1508,1363,0,2871,0,5,3654,3440,3060 – 3821,51.9555086,4.4398832,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
290,Rotterdam The Hague Airport,2021 februari,144,74,70,2871,1508,1363,0,2871,0,6,3550,3434,3012 – 3856,51.9555086,4.4398832,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
291,Rotterdam The Hague Airport,2021 februari,144,74,70,2871,1508,1363,0,2871,0,7,3528,3441,2949 – 3934,51.9555086,4.4398832,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
292,Rotterdam The Hague Airport,2021 februari,144,74,70,2871,1508,1363,0,2871,0,8,3207,3420,2884 – 3955,51.9555086,4.4398832,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
293,Eindhoven Airport,2021 februari,169,86,83,11314,5599,5715,10985,329,0,5,3654,3440,3060 – 3821,51.4583691,5.3920556,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
294,Eindhoven Airport,2021 februari,169,86,83,11314,5599,5715,10985,329,0,6,3550,3434,3012 – 3856,51.4583691,5.3920556,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
295,Eindhoven Airport,2021 februari,169,86,83,11314,5599,5715,10985,329,0,7,3528,3441,2949 – 3934,51.4583691,5.3920556,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
296,Eindhoven Airport,2021 februari,169,86,83,11314,5599,5715,10985,329,0,8,3207,3420,2884 – 3955,51.4583691,5.3920556,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
297,Maastricht Aachen Airport,2021 februari,537,267,270,448,346,102,447,0,1,5,3654,3440,3060 – 3821,50.9123207,5.7694951,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
298,Maastricht Aachen Airport,2021 februari,537,267,270,448,346,102,447,0,1,6,3550,3434,3012 – 3856,50.9123207,5.7694951,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
299,Maastricht Aachen Airport,2021 februari,537,267,270,448,346,102,447,0,1,7,3528,3441,2949 – 3934,50.9123207,5.7694951,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
300,Maastricht Aachen Airport,2021 februari,537,267,270,448,346,102,447,0,1,8,3207,3420,2884 – 3955,50.9123207,5.7694951,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
301,Groningen Airport Eelde,2021 februari,23,8,15,0,0,0,0,0,0,5,3654,3440,3060 – 3821,53.2145858,6.5887355,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
302,Groningen Airport Eelde,2021 februari,23,8,15,0,0,0,0,0,0,6,3550,3434,3012 – 3856,53.2145858,6.5887355,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
303,Groningen Airport Eelde,2021 februari,23,8,15,0,0,0,0,0,0,7,3528,3441,2949 – 3934,53.2145858,6.5887355,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
304,Groningen Airport Eelde,2021 februari,23,8,15,0,0,0,0,0,0,8,3207,3420,2884 – 3955,53.2145858,6.5887355,"Basisscholen open, click-and-collect niet-essentiële winkels (feb '21)"
305,Amsterdam Airport Schiphol,2021 maart,12217,6112,6105,660176,331608,328568,430955,229221,0,9,3105,3384,2838 – 3931,52.3105386,4.7682744,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
306,Amsterdam Airport Schiphol,2021 maart,12217,6112,6105,660176,331608,328568,430955,229221,0,10,3246,3347,2817 – 3877,52.3105386,4.7682744,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
307,Amsterdam Airport Schiphol,2021 maart,12217,6112,6105,660176,331608,328568,430955,229221,0,11,3042,3285,2787 – 3782,52.3105386,4.7682744,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
308,Amsterdam Airport Schiphol,2021 maart,12217,6112,6105,660176,331608,328568,430955,229221,0,12,3044,3205,2742 – 3668,52.3105386,4.7682744,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
309,Rotterdam The Hague Airport,2021 maart,185,88,97,98,57,41,98,0,0,9,3105,3384,2838 – 3931,51.9555086,4.4398832,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
310,Rotterdam The Hague Airport,2021 maart,185,88,97,98,57,41,98,0,0,10,3246,3347,2817 – 3877,51.9555086,4.4398832,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
311,Rotterdam The Hague Airport,2021 maart,185,88,97,98,57,41,98,0,0,11,3042,3285,2787 – 3782,51.9555086,4.4398832,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
312,Rotterdam The Hague Airport,2021 maart,185,88,97,98,57,41,98,0,0,12,3044,3205,2742 – 3668,51.9555086,4.4398832,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
313,Eindhoven Airport,2021 maart,226,114,112,16000,7397,8603,16000,0,0,9,3105,3384,2838 – 3931,51.4583691,5.3920556,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
314,Eindhoven Airport,2021 maart,226,114,112,16000,7397,8603,16000,0,0,10,3246,3347,2817 – 3877,51.4583691,5.3920556,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
315,Eindhoven Airport,2021 maart,226,114,112,16000,7397,8603,16000,0,0,11,3042,3285,2787 – 3782,51.4583691,5.3920556,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
316,Eindhoven Airport,2021 maart,226,114,112,16000,7397,8603,16000,0,0,12,3044,3205,2742 – 3668,51.4583691,5.3920556,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
317,Maastricht Aachen Airport,2021 maart,560,281,279,373,197,176,373,0,0,9,3105,3384,2838 – 3931,50.9123207,5.7694951,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
318,Maastricht Aachen Airport,2021 maart,560,281,279,373,197,176,373,0,0,10,3246,3347,2817 – 3877,50.9123207,5.7694951,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
319,Maastricht Aachen Airport,2021 maart,560,281,279,373,197,176,373,0,0,11,3042,3285,2787 – 3782,50.9123207,5.7694951,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
320,Maastricht Aachen Airport,2021 maart,560,281,279,373,197,176,373,0,0,12,3044,3205,2742 – 3668,50.9123207,5.7694951,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
321,Groningen Airport Eelde,2021 maart,40,19,21,0,0,0,0,0,0,9,3105,3384,2838 – 3931,53.2145858,6.5887355,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
322,Groningen Airport Eelde,2021 maart,40,19,21,0,0,0,0,0,0,10,3246,3347,2817 – 3877,53.2145858,6.5887355,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
323,Groningen Airport Eelde,2021 maart,40,19,21,0,0,0,0,0,0,11,3042,3285,2787 – 3782,53.2145858,6.5887355,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
324,Groningen Airport Eelde,2021 maart,40,19,21,0,0,0,0,0,0,12,3044,3205,2742 – 3668,53.2145858,6.5887355,"Scholen gedeeltelijk open, contactberoepen toegestaan, winkelen op afspraak (mrt '21)"
325,Amsterdam Airport Schiphol,2021 april,13720,6855,6865,786652,386810,399842,536128,250524,0,13,3178,3134,2733 – 3535,52.3105386,4.7682744,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
326,Amsterdam Airport Schiphol,2021 april,13720,6855,6865,786652,386810,399842,536128,250524,0,14,3162,3054,2741 – 3366,52.3105386,4.7682744,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
327,Amsterdam Airport Schiphol,2021 april,13720,6855,6865,786652,386810,399842,536128,250524,0,15,3137,2986,2748 – 3224,52.3105386,4.7682744,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
328,Amsterdam Airport Schiphol,2021 april,13720,6855,6865,786652,386810,399842,536128,250524,0,16,3144,2944,2739 – 3148,52.3105386,4.7682744,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
329,Rotterdam The Hague Airport,2021 april,195,100,95,1945,642,1303,1945,0,0,13,3178,3134,2733 – 3535,51.9555086,4.4398832,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
330,Rotterdam The Hague Airport,2021 april,195,100,95,1945,642,1303,1945,0,0,14,3162,3054,2741 – 3366,51.9555086,4.4398832,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
331,Rotterdam The Hague Airport,2021 april,195,100,95,1945,642,1303,1945,0,0,15,3137,2986,2748 – 3224,51.9555086,4.4398832,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
332,Rotterdam The Hague Airport,2021 april,195,100,95,1945,642,1303,1945,0,0,16,3144,2944,2739 – 3148,51.9555086,4.4398832,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
333,Eindhoven Airport,2021 april,373,190,183,27805,12367,15438,27805,0,0,13,3178,3134,2733 – 3535,51.4583691,5.3920556,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
334,Eindhoven Airport,2021 april,373,190,183,27805,12367,15438,27805,0,0,14,3162,3054,2741 – 3366,51.4583691,5.3920556,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
335,Eindhoven Airport,2021 april,373,190,183,27805,12367,15438,27805,0,0,15,3137,2986,2748 – 3224,51.4583691,5.3920556,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
336,Eindhoven Airport,2021 april,373,190,183,27805,12367,15438,27805,0,0,16,3144,2944,2739 – 3148,51.4583691,5.3920556,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
337,Maastricht Aachen Airport,2021 april,563,278,285,1474,571,903,1473,0,1,13,3178,3134,2733 – 3535,50.9123207,5.7694951,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
338,Maastricht Aachen Airport,2021 april,563,278,285,1474,571,903,1473,0,1,14,3162,3054,2741 – 3366,50.9123207,5.7694951,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
339,Maastricht Aachen Airport,2021 april,563,278,285,1474,571,903,1473,0,1,15,3137,2986,2748 – 3224,50.9123207,5.7694951,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
340,Maastricht Aachen Airport,2021 april,563,278,285,1474,571,903,1473,0,1,16,3144,2944,2739 – 3148,50.9123207,5.7694951,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
341,Groningen Airport Eelde,2021 april,40,20,20,0,0,0,0,0,0,13,3178,3134,2733 – 3535,53.2145858,6.5887355,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
342,Groningen Airport Eelde,2021 april,40,20,20,0,0,0,0,0,0,14,3162,3054,2741 – 3366,53.2145858,6.5887355,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
343,Groningen Airport Eelde,2021 april,40,20,20,0,0,0,0,0,0,15,3137,2986,2748 – 3224,53.2145858,6.5887355,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
344,Groningen Airport Eelde,2021 april,40,20,20,0,0,0,0,0,0,16,3144,2944,2739 – 3148,53.2145858,6.5887355,"Afschaffing avondklok, HBO, WO en terrassen gedeeltelijk open (apr '21)"
345,Amsterdam Airport Schiphol,2021 mei,15576,7790,7786,1106740,552079,554661,804575,302165,0,17,3123,2897,2705 – 3088,52.3105386,4.7682744,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
346,Amsterdam Airport Schiphol,2021 mei,15576,7790,7786,1106740,552079,554661,804575,302165,0,18,3000,2869,2677 – 3060,52.3105386,4.7682744,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
347,Amsterdam Airport Schiphol,2021 mei,15576,7790,7786,1106740,552079,554661,804575,302165,0,19,3014,2849,2660 – 3037,52.3105386,4.7682744,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
348,Amsterdam Airport Schiphol,2021 mei,15576,7790,7786,1106740,552079,554661,804575,302165,0,20,2988,2821,2653 – 2989,52.3105386,4.7682744,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
349,Amsterdam Airport Schiphol,2021 mei,15576,7790,7786,1106740,552079,554661,804575,302165,0,21,2806,2797,2646 – 2947,52.3105386,4.7682744,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
350,Rotterdam The Hague Airport,2021 mei,267,132,135,8912,4045,4867,8912,0,0,17,3123,2897,2705 – 3088,51.9555086,4.4398832,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
351,Rotterdam The Hague Airport,2021 mei,267,132,135,8912,4045,4867,8912,0,0,18,3000,2869,2677 – 3060,51.9555086,4.4398832,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
352,Rotterdam The Hague Airport,2021 mei,267,132,135,8912,4045,4867,8912,0,0,19,3014,2849,2660 – 3037,51.9555086,4.4398832,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
353,Rotterdam The Hague Airport,2021 mei,267,132,135,8912,4045,4867,8912,0,0,20,2988,2821,2653 – 2989,51.9555086,4.4398832,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
354,Rotterdam The Hague Airport,2021 mei,267,132,135,8912,4045,4867,8912,0,0,21,2806,2797,2646 – 2947,51.9555086,4.4398832,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
355,Eindhoven Airport,2021 mei,562,280,282,51798,24310,27488,51798,0,0,17,3123,2897,2705 – 3088,51.4583691,5.3920556,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
356,Eindhoven Airport,2021 mei,562,280,282,51798,24310,27488,51798,0,0,18,3000,2869,2677 – 3060,51.4583691,5.3920556,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
357,Eindhoven Airport,2021 mei,562,280,282,51798,24310,27488,51798,0,0,19,3014,2849,2660 – 3037,51.4583691,5.3920556,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
358,Eindhoven Airport,2021 mei,562,280,282,51798,24310,27488,51798,0,0,20,2988,2821,2653 – 2989,51.4583691,5.3920556,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
359,Eindhoven Airport,2021 mei,562,280,282,51798,24310,27488,51798,0,0,21,2806,2797,2646 – 2947,51.4583691,5.3920556,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
360,Maastricht Aachen Airport,2021 mei,555,272,283,2223,993,1230,2221,1,1,17,3123,2897,2705 – 3088,50.9123207,5.7694951,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
361,Maastricht Aachen Airport,2021 mei,555,272,283,2223,993,1230,2221,1,1,18,3000,2869,2677 – 3060,50.9123207,5.7694951,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
362,Maastricht Aachen Airport,2021 mei,555,272,283,2223,993,1230,2221,1,1,19,3014,2849,2660 – 3037,50.9123207,5.7694951,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
363,Maastricht Aachen Airport,2021 mei,555,272,283,2223,993,1230,2221,1,1,20,2988,2821,2653 – 2989,50.9123207,5.7694951,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
364,Maastricht Aachen Airport,2021 mei,555,272,283,2223,993,1230,2221,1,1,21,2806,2797,2646 – 2947,50.9123207,5.7694951,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
365,Groningen Airport Eelde,2021 mei,27,10,17,0,0,0,0,0,0,17,3123,2897,2705 – 3088,53.2145858,6.5887355,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
366,Groningen Airport Eelde,2021 mei,27,10,17,0,0,0,0,0,0,18,3000,2869,2677 – 3060,53.2145858,6.5887355,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
367,Groningen Airport Eelde,2021 mei,27,10,17,0,0,0,0,0,0,19,3014,2849,2660 – 3037,53.2145858,6.5887355,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
368,Groningen Airport Eelde,2021 mei,27,10,17,0,0,0,0,0,0,20,2988,2821,2653 – 2989,53.2145858,6.5887355,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
369,Groningen Airport Eelde,2021 mei,27,10,17,0,0,0,0,0,0,21,2806,2797,2646 – 2947,53.2145858,6.5887355,"Sporten toegestaan, buitenlocaties open, reserveren verplicht (mei '21)"
370,Amsterdam Airport Schiphol,2021 juni,19195,9593,9602,1678265,816099,862166,1231479,446786,0,22,3009,2780,2635 – 2925,52.3105386,4.7682744,Samenleving gaat weer open (jun '21)
371,Amsterdam Airport Schiphol,2021 juni,19195,9593,9602,1678265,816099,862166,1231479,446786,0,23,2883,2762,2617 – 2906,52.3105386,4.7682744,Samenleving gaat weer open (jun '21)
372,Amsterdam Airport Schiphol,2021 juni,19195,9593,9602,1678265,816099,862166,1231479,446786,0,24,2869,2764,2627 – 2901,52.3105386,4.7682744,Samenleving gaat weer open (jun '21)
373,Amsterdam Airport Schiphol,2021 juni,19195,9593,9602,1678265,816099,862166,1231479,446786,0,25,2672,2751,2620 – 2882,52.3105386,4.7682744,Samenleving gaat weer open (jun '21)
374,Rotterdam The Hague Airport,2021 juni,579,289,290,39309,15981,23328,33826,5483,0,22,3009,2780,2635 – 2925,51.9555086,4.4398832,Samenleving gaat weer open (jun '21)
375,Rotterdam The Hague Airport,2021 juni,579,289,290,39309,15981,23328,33826,5483,0,23,2883,2762,2617 – 2906,51.9555086,4.4398832,Samenleving gaat weer open (jun '21)
