,Luchthaven,Periode,Totaal aantal vluchten,Totaal aantal aangekomen vluchten,Totaal aantal vertrokken vluchten,Totaal aantal passagiers,Totaal aantal aangekomen passagiers,Totaal aantal vertrokken passagiers,Totaal aantal passagiers op Europese vluchten,Totaal aantal passagiers op intercontinentale vluchten,Totaal aantal passagiers met onbekende herkomst/bestemming
62,Rotterdam The Hague Airport,2021 juli,1312,666,646,113882,45390,68492,98923,14959,0
63,Rotterdam The Hague Airport,2021 augustus,1516,749,767,181957,98121,83836,164739,17218,0
64,Eindhoven Airport,2019 januari,2579,1289,1290,400481,206935,193546,375089,25392,0
65,Eindhoven Airport,2019 februari,2417,1209,1208,404961,198594,206367,378663,26298,0
66,Eindhoven Airport,2019 maart,2854,1427,1427,486336,243926,242410,454150,32186,0
67,Eindhoven Airport,2019 april,3573,1786,1787,606490,291947,314543,575402,31088,0
68,Eindhoven Airport,2019 mei,3933,1963,1970,656099,326219,329880,631507,24592,0
69,Eindhoven Airport,2019 juni,3836,1919,1917,657648,327515,330133,628373,29275,0
70,Eindhoven Airport,2019 juli,3922,1961,1961,665638,312064,353574,633847,31791,0
71,Eindhoven Airport,2019 augustus,3933,1965,1968,681093,351710,329383,648004,33089,0
72,Eindhoven Airport,2019 september,3913,1952,1961,672355,339392,332963,641495,30860,0
73,Eindhoven Airport,2019 oktober,3870,1937,1933,662238,339167,323071,630181,32057,0
74,Eindhoven Airport,2019 november,2641,1315,1326,446930,229154,217776,417528,29402,0
75,Eindhoven Airport,2019 december,2738,1369,1369,440506,207147,233359,413878,26628,0
76,Eindhoven Airport,2020 januari,2554,1277,1277,400991,202475,198516,375641,25350,0
77,Eindhoven Airport,2020 februari,2649,1328,1321,438828,214069,224759,410047,28781,0
78,Eindhoven Airport,2020 maart,1888,939,949,225071,121612,103459,210026,15045,0
79,Eindhoven Airport,2020 april,148,75,73,7732,4740,2992,7732,0,0
80,Eindhoven Airport,2020 mei,178,92,86,12108,7472,4636,12108,0,0
81,Eindhoven Airport,2020 juni,565,286,279,46774,19688,27086,46774,0,0
82,Eindhoven Airport,2020 juli,2292,1152,1140,257515,112453,145062,257515,0,0
83,Eindhoven Airport,2020 augustus,2713,1352,1361,295053,162305,132748,295053,0,0
84,Eindhoven Airport,2020 september,1947,973,974,171375,90205,81170,171375,0,0
85,Eindhoven Airport,2020 oktober,1451,724,727,133057,68212,64845,133057,0,0
86,Eindhoven Airport,2020 november,721,363,358,57737,31566,26171,57737,0,0
87,Eindhoven Airport,2020 december,769,387,382,66544,26518,40026,66544,0,0
88,Eindhoven Airport,2021 januari,572,282,290,36128,22761,13367,36128,0,0
89,Eindhoven Airport,2021 februari,169,86,83,11314,5599,5715,10985,329,0
90,Eindhoven Airport,2021 maart,226,114,112,16000,7397,8603,16000,0,0
91,Eindhoven Airport,2021 april,373,190,183,27805,12367,15438,27805,0,0
92,Eindhoven Airport,2021 mei,562,280,282,51798,24310,27488,51798,0,0
93,Eindhoven Airport,2021 juni,1428,722,706,147608,65258,82350,142960,4648,0
94,Eindhoven Airport,2021 juli,2779,1396,1383,344808,149673,195135,328995,15813,0
95,Eindhoven Airport,2021 augustus,3245,1616,1629,481576,252858,228718,460773,20803,0
96,Maastricht Aachen Airport,2019 januari,413,202,211,6140,3411,2729,3588,2552,0
97,Maastricht Aachen Airport,2019 februari,456,227,229,6817,3319,3498,4146,2668,3
98,Maastricht Aachen Airport,2019 maart,454,226,228,6914,3556,3358,4916,1998,0
99,Maastricht Aachen Airport,2019 april,622,311,311,32795,13965,18830,31465,1329,1
100,Maastricht Aachen Airport,2019 mei,723,362,361,49734,24125,25609,48641,1090,3
101,Maastricht Aachen Airport,2019 juni,678,336,342,50048,24632,25416,48328,1713,7
102,Maastricht Aachen Airport,2019 juli,808,403,405,69715,31761,37954,65026,4684,5
103,Maastricht Aachen Airport,2019 augustus,713,355,358,76289,39711,36578,70281,5998,10
104,Maastricht Aachen Airport,2019 september,641,324,317,59255,30421,28834,56272,2983,0
105,Maastricht Aachen Airport,2019 oktober,616,313,303,46190,25714,20476,42918,3271,1
106,Maastricht Aachen Airport,2019 november,564,279,285,16446,8551,7895,12120,4326,0
107,Maastricht Aachen Airport,2019 december,511,263,248,15634,8390,7244,10145,5488,1
108,Maastricht Aachen Airport,2020 januari,474,238,236,15115,8177,6938,9549,5566,0
109,Maastricht Aachen Airport,2020 februari,476,237,239,14354,7233,7121,8083,6271,0
110,Maastricht Aachen Airport,2020 maart,485,236,249,7242,4398,2844,4364,2873,5
111,Maastricht Aachen Airport,2020 april,329,162,167,5,0,5,3,0,2
112,Maastricht Aachen Airport,2020 mei,452,226,226,4,2,2,4,0,0
113,Maastricht Aachen Airport,2020 juni,489,246,243,389,188,201,384,3,2
114,Maastricht Aachen Airport,2020 juli,621,311,310,12952,5620,7332,12952,0,0
115,Maastricht Aachen Airport,2020 augustus,615,310,305,16818,9354,7464,16814,4,0
116,Maastricht Aachen Airport,2020 september,516,257,259,5511,3189,2322,5510,1,0
117,Maastricht Aachen Airport,2020 oktober,587,292,295,4710,2583,2127,4710,0,0
118,Maastricht Aachen Airport,2020 november,548,277,271,2139,1270,869,2137,2,0
119,Maastricht Aachen Airport,2020 december,535,274,261,1841,765,1076,1840,0,1
120,Maastricht Aachen Airport,2021 januari,468,234,234,1049,625,424,1049,0,0
121,Maastricht Aachen Airport,2021 februari,537,267,270,448,346,102,447,0,1
122,Maastricht Aachen Airport,2021 maart,560,281,279,373,197,176,373,0,0
123,Maastricht Aachen Airport,2021 april,563,278,285,1474,571,903,1473,0,1
124,Maastricht Aachen Airport,2021 mei,555,272,283,2223,993,1230,2221,1,1
125,Maastricht Aachen Airport,2021 juni,460,226,234,4454,1425,3029,4454,0,0
126,Maastricht Aachen Airport,2021 juli,583,295,288,22399,9366,13033,22397,0,2
127,Maastricht Aachen Airport,2021 augustus,600,296,304,24199,13550,10649,24199,0,0
128,Groningen Airport Eelde,2019 januari,170,84,86,8244,4158,4086,8244,0,0
129,Groningen Airport Eelde,2019 februari,158,78,80,8771,4432,4339,8771,0,0
130,Groningen Airport Eelde,2019 maart,270,134,136,9541,4903,4638,9414,127,0
131,Groningen Airport Eelde,2019 april,291,146,145,13622,5917,7705,13509,113,0
132,Groningen Airport Eelde,2019 mei,346,174,172,22217,11038,11179,22217,0,0
133,Groningen Airport Eelde,2019 juni,330,164,166,20981,10541,10440,20981,0,0
134,Groningen Airport Eelde,2019 juli,281,138,143,19813,9391,10422,19813,0,0
135,Groningen Airport Eelde,2019 augustus,260,132,128,21459,10970,10489,21459,0,0
136,Groningen Airport Eelde,2019 september,409,203,206,20756,10376,10380,20756,0,0
137,Groningen Airport Eelde,2019 oktober,376,187,189,16210,8726,7484,16210,0,0
138,Groningen Airport Eelde,2019 november,280,139,141,7341,3593,3748,7341,0,0
139,Groningen Airport Eelde,2019 december,219,111,108,7067,3514,3553,7067,0,0
